cell_id,level,interval_idx,idx_top,idx_base,rgt_top,rgt_base,n_finite,mean,std,iqr,range95,ntg
g0_1,0,0,0,799,-1620.1858996268088,18106.569071951566,768,0.3691783065837348,0.09429859616670026,0.13959952558214406,0.32631209065885847,0.6809895833333334
g0_1,1,0,0,799,-1620.1858996268088,18106.569071951566,768,0.3691783065837348,0.09429859616670026,0.13959952558214406,0.32631209065885847,0.6809895833333334
g0_1,2,0,0,799,-1620.1858996268088,18106.569071951566,768,0.3691783065837348,0.09429859616670026,0.13959952558214406,0.32631209065885847,0.6809895833333334
g0_1,3,0,0,799,-1620.1858996268088,18106.569071951566,768,0.3691783065837348,0.09429859616670026,0.13959952558214406,0.32631209065885847,0.6809895833333334
g0_1,4,0,0,799,-1620.1858996268088,18106.569071951566,768,0.3691783065837348,0.09429859616670026,0.13959952558214406,0.32631209065885847,0.6809895833333334
g0_1,5,0,0,799,-1620.1858996268088,18106.569071951566,768,0.3691783065837348,0.09429859616670026,0.13959952558214406,0.32631209065885847,0.6809895833333334
g0_1,6,0,0,799,-1620.1858996268088,18106.569071951566,768,0.3691783065837348,0.09429859616670026,0.13959952558214406,0.32631209065885847,0.6809895833333334
g0_1,7,0,0,799,-1620.1858996268088,18106.569071951566,768,0.3691783065837348,0.09429859616670026,0.13959952558214406,0.32631209065885847,0.6809895833333334
g0_2,0,0,0,799,-8925.357789036785,39660.79254383798,768,0.3505466218159025,0.13380471178504452,0.0982431639778904,0.5201348953899609,0.7408854166666666
g0_2,1,0,0,799,-8925.357789036785,39660.79254383798,768,0.3505466218159025,0.13380471178504452,0.0982431639778904,0.5201348953899609,0.7408854166666666
g0_2,2,0,0,799,-8925.357789036785,39660.79254383798,768,0.3505466218159025,0.13380471178504452,0.0982431639778904,0.5201348953899609,0.7408854166666666
g0_2,3,0,0,799,-8925.357789036785,39660.79254383798,768,0.3505466218159025,0.13380471178504452,0.0982431639778904,0.5201348953899609,0.7408854166666666
g0_2,4,0,0,799,-8925.357789036785,39660.79254383798,768,0.3505466218159025,0.13380471178504452,0.0982431639778904,0.5201348953899609,0.7408854166666666
g0_2,5,0,0,799,-8925.357789036785,39660.79254383798,768,0.3505466218159025,0.13380471178504452,0.0982431639778904,0.5201348953899609,0.7408854166666666
g0_2,6,0,0,799,-8925.357789036785,39660.79254383798,768,0.3505466218159025,0.13380471178504452,0.0982431639778904,0.5201348953899609,0.7408854166666666
g0_2,7,0,0,799,-8925.357789036785,39660.79254383798,768,0.3505466218159025,0.13380471178504452,0.0982431639778904,0.5201348953899609,0.7408854166666666
g0_3,0,0,0,799,-8925.357789036785,39660.79254383798,768,0.35818361015309436,0.13755858460870432,0.1072492537825585,0.5222708761100002,0.7018229166666666
g0_3,1,0,0,799,-8925.357789036785,39660.79254383798,768,0.35818361015309436,0.13755858460870432,0.1072492537825585,0.5222708761100002,0.7018229166666666
g0_3,2,0,0,799,-8925.357789036785,39660.79254383798,768,0.35818361015309436,0.13755858460870432,0.1072492537825585,0.5222708761100002,0.7018229166666666
g0_3,3,0,0,799,-8925.357789036785,39660.79254383798,768,0.35818361015309436,0.13755858460870432,0.1072492537825585,0.5222708761100002,0.7018229166666666
g0_3,4,0,0,799,-8925.357789036785,39660.79254383798,768,0.35818361015309436,0.13755858460870432,0.1072492537825585,0.5222708761100002,0.7018229166666666
g0_3,5,0,0,799,-8925.357789036785,39660.79254383798,768,0.35818361015309436,0.13755858460870432,0.1072492537825585,0.5222708761100002,0.7018229166666666
g0_3,6,0,0,799,-8925.357789036785,39660.79254383798,768,0.35818361015309436,0.13755858460870432,0.1072492537825585,0.5222708761100002,0.7018229166666666
g0_3,7,0,0,799,-8925.357789036785,39660.79254383798,768,0.35818361015309436,0.13755858460870432,0.1072492537825585,0.5222708761100002,0.7018229166666666
g0_4,0,0,0,799,-8925.357789036785,39660.79254383798,768,0.35571900921065164,0.13725772149535617,0.11168618486838983,0.516543096898988,0.7096354166666666
g0_4,1,0,0,799,-8925.357789036785,39660.79254383798,768,0.35571900921065164,0.13725772149535617,0.11168618486838983,0.516543096898988,0.7096354166666666
g0_4,2,0,0,799,-8925.357789036785,39660.79254383798,768,0.35571900921065164,0.13725772149535617,0.11168618486838983,0.516543096898988,0.7096354166666666
g0_4,3,0,0,799,-8925.357789036785,39660.79254383798,768,0.35571900921065164,0.13725772149535617,0.11168618486838983,0.516543096898988,0.7096354166666666
g0_4,4,0,0,799,-8925.357789036785,39660.79254383798,768,0.35571900921065164,0.13725772149535617,0.11168618486838983,0.516543096898988,0.7096354166666666
g0_4,5,0,0,799,-8925.357789036785,39660.79254383798,768,0.35571900921065164,0.13725772149535617,0.11168618486838983,0.516543096898988,0.7096354166666666
g0_4,6,0,0,799,-8925.357789036785,39660.79254383798,768,0.35571900921065164,0.13725772149535617,0.11168618486838983,0.516543096898988,0.7096354166666666
g0_4,7,0,0,799,-8925.357789036785,39660.79254383798,768,0.35571900921065164,0.13725772149535617,0.11168618486838983,0.516543096898988,0.7096354166666666
g10_1,0,0,0,799,-6700.174093296601,17341.151152787545,768,0.2958198662251501,0.09240345933039974,0.07192326517177261,0.24893078770637878,0.9401041666666666
g10_1,1,0,0,799,-6700.174093296601,17341.151152787545,768,0.2958198662251501,0.09240345933039974,0.07192326517177261,0.24893078770637878,0.9401041666666666
g10_1,2,0,0,799,-6700.174093296601,17341.151152787545,768,0.2958198662251501,0.09240345933039974,0.07192326517177261,0.24893078770637878,0.9401041666666666
