well_id,bin_id
15129001090000,g0_1
15129001140000,g0_1
15129001150000,g0_1
15129102350000,g0_1
15129102610000,g0_1
15129102920000,g0_1
15129102930000,g0_1
15129103460000,g0_1
15129103470000,g0_1
15129103640000,g0_1
15129203090000,g0_1
15129204640000,g0_1
15129207160000,g0_1
15129212020000,g0_1
15129212360000,g0_1
15129212570000,g0_1
15129212570000,g0_1
15129212570000,g0_1
15129212750000,g0_1
15129212750000,g0_1
15129212750000,g0_1
15129212750000,g0_1
15129212750000,g0_1
15129212750000,g0_1
15129212820000,g0_1
15129216620000,g0_1
15129217410000,g0_1
15129218150000,g0_1
15129219270000,g0_1
15129219370000,g0_1
15129219370000,g0_1
15129219380000,g0_1
15129219410000,g0_1
15129219420000,g0_1
15129219420000,g0_1
15129219570000,g0_1
15129219570000,g0_1
15129219570000,g0_1
15129219570000,g0_1
15129293690000,g0_1
15075200510000,g0_2
15129207430000,g0_2
15129213170000,g0_2
15187203570000,g0_2
15187203570000,g0_2
15187203820000,g0_2
15187203970000,g0_2
15187211470000,g0_2
15187211470000,g0_2
15187211470000,g0_2
15071204290000,g0_3
15071208550000,g0_3
15075200200000,g0_3
15075200560000,g0_3
15075204010000,g0_3
15075205810000,g0_3
15075206640001,g0_3
15075208590000,g0_3
15075208650000,g0_3
15075208650000,g0_3
15075208650000,g0_3
15075208660000,g0_3
15075208660000,g0_3
15075208690000,g0_3
15071202660000,g0_4
15071202880000,g0_4
15071203140000,g0_4
15071203140000,g0_4
15071203440000,g0_4
15071203440000,g0_4
15071203440000,g0_4
15071204050000,g0_4
15071204050000,g0_4
15071204240000,g0_4
15071204440000,g0_4
15071208760000,g0_4
15071208880000,g0_4
15199100310001,g0_4
15199200770000,g0_4
15199200770000,g0_4
15199201090000,g0_4
1005423592,g10_1
1005710757,g10_1
1030608987,g10_1
1053838085,g10_1
1054200530,g10_1
1054265645,g10_1
1054265646,g10_1
1054357516,g10_1
1054729760,g10_1
1054729763,g10_1
1054729786,g10_1
1054729790,g10_1
1055267268,g10_1
1055280542,g10_1
1055887695,g10_1
1055887712,g10_1
1055887728,g10_1
15019198190000,g10_1
15019199270000,g10_1
15019205090000,g10_1
15019205090000,g10_1
15019228210001,g10_1
15019258800000,g10_1
15019260640001,g10_1
15019267180000,g10_1
15019268570000,g10_1
15019268670000,g10_1
15019268690000,g10_1
15019268790000,g10_1
15019269300000,g10_1
15019269530000,g10_1
15019269530000,g10_1
15019270800000,g10_1
15019270800000,g10_1
15019271360000,g10_1
15019271360000,g10_1
15019271370000,g10_1
15019271370000,g10_1
15019271380000,g10_1
15019271380000,g10_1
15019271610000,g10_1
15019271610000,g10_1
15019271620000,g10_1
15019271630000,g10_1
15019271640000,g10_1
15019271910000,g10_1
15019271910000,g10_1
15019271920000,g10_1
15019271920000,g10_1
15019271930000,g10_1
15019271930000,g10_1
15019272460000,g10_1
15019272470000,g10_1
15019272480000,g10_1
15019272490000,g10_1
15019272840000,g10_1
15019273230000,g10_1
15019273640000,g10_1
15019273650000,g10_1
15019273820000,g10_1
15019273820000,g10_1
15019274430000,g10_1
15019274430000,g10_1
15019274440000,g10_1
15019274440000,g10_1
15019274450000,g10_1
15019274450000,g10_1
15019274480000,g10_1
15019274510000,g10_1
15019274510000,g10_1
15019274520000,g10_1
15019274520000,g10_1
15019274540000,g10_1
15019274540000,g10_1
15019274550000,g10_1
15019274550000,g10_1
15019274560000,g10_1
15019274810000,g10_1
15019274810000,g10_1
15019274980000,g10_1
15019274980000,g10_1
15019274990000,g10_1
15019274990000,g10_1
15019275000000,g10_1
15019275000000,g10_1
15019275150000,g10_1
15019275150000,g10_1
15019300670000,g10_1
15049223180000,g10_1
15099230110000,g10_1
15099231490000,g10_1
15099231920000,g10_1
15099231950000,g10_1
15099232130000,g10_1
15099232140000,g10_1
15099232320000,g10_1
15099232330000,g10_1
15099232340000,g10_1
15099232380000,g10_1
15099232390000,g10_1
15099232400000,g10_1
15099232410000,g10_1
15099232420000,g10_1
15099232480000,g10_1
15099232490000,g10_1
15099232490000,g10_1
15099232500000,g10_1
15099232610000,g10_1
15099233000000,g10_1
15099233850000,g10_1
15099234000000,g10_1
15099234040000,g10_1
15099234050000,g10_1
15099234090000,g10_1
15099234100000,g10_1
15099234130000,g10_1
15099234260000,g10_1
15099234290000,g10_1
15099234300000,g10_1
15099234320000,g10_1
15099234330000,g10_1
15099234350000,g10_1
15099234370000,g10_1
15099234380000,g10_1
15099234390000,g10_1
15099234400000,g10_1
15099234410000,g10_1
15099234420000,g10_1
15099234480000,g10_1
15099234490000,g10_1
15099234500000,g10_1
15099234530000,g10_1
15099234600000,g10_1
15099234610000,g10_1
15099234620000,g10_1
15099234710000,g10_1
15099234730000,g10_1
15099234760001,g10_1
15099235010000,g10_1
15099235040000,g10_1
15099235090000,g10_1
15099235160000,g10_1
15099235170000,g10_1
15099235180000,g10_1
15099235330000,g10_1
15099235340000,g10_1
15099235350000,g10_1
15099235380000,g10_1
15099235440000,g10_1
15099235460000,g10_1
15099235470000,g10_1
15099235500000,g10_1
15099235510000,g10_1
15099235520000,g10_1
15099235530000,g10_1
15099235570000,g10_1
15099235590000,g10_1
15099235600000,g10_1
15099235670000,g10_1
15099235690000,g10_1
15099235700000,g10_1
15099235770000,g10_1
15099235790000,g10_1
15099235800000,g10_1
15099235880000,g10_1
15099235890000,g10_1
15099235920000,g10_1
15099235930000,g10_1
15099235940000,g10_1
15099235950000,g10_1
15099235960000,g10_1
15099235970000,g10_1
