rep_id,cell_id,url,las_path,status,thickness,expected_thickness,z_top,z_base,placed_z_top,placed_z_base,short_flag,missing_top_flag,missing_base_flag,condensed_flag,match_j_start,match_j_end,match_s_start,match_s_end,match_span,warp_ratio,dtw_cost_per_step,error
169,g11_3,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1045018682.las,data/las/1045018682.las,ok,678.5,963.8,13.75,692.25,13.75,692.25,False,False,False,False,0,255,0.0,1.0,,,nan,
170,g11_3,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045386518.las,data/las/1045386518.las,ok,677.75,963.8,14.0,691.75,14.0,691.75,False,False,False,False,0,255,0.0,1.0,,,nan,
171,g11_3,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044579957.las,data/las/1044579957.las,ok,746.25,963.8,12.25,758.5,12.25,758.5,False,False,False,False,0,255,0.0,1.0,,,nan,
172,g11_3,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044596862.las,data/las/1044596862.las,ok,704.5,963.8,13.0,717.5,13.0,717.5,False,False,False,False,0,255,0.0,1.0,,,nan,
173,g11_3,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044189457.las,data/las/1044189457.las,ok,706.25,963.8,12.75,719.0,12.75,719.0,False,False,False,False,0,255,0.0,1.0,,,nan,
174,,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044207980.las,,read_fail,,,,,,,,,,,,,,,,,,Failed to read LAS: data/las/1044207980.las
175,g11_3,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045386515.las,data/las/1045386515.las,ok,679.5,963.8,12.75,692.25,12.75,692.25,False,False,False,False,0,255,0.0,1.0,,,nan,
176,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S24E/1031372228.las,data/las/1031372228.las,ok,1000.0,730.125,100.0,1100.0,100.0,1100.0,False,False,False,False,0,255,0.0,1.0,,,nan,
177,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044907132.las,data/las/1044907132.las,ok,725.5,730.125,40.0,765.5,40.0,765.5,False,False,False,False,0,255,0.0,1.0,,,nan,
178,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1046076692.las,data/las/1046076692.las,ok,294.0,730.125,502.5,796.5,-41.51470588235293,893.85,True,True,True,False,190,221,0.7450980392156863,0.8666666666666667,0.12156862745098039,0.3106796116504854,0.5698932617395024,
179,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1046076713.las,data/las/1046076713.las,ok,294.0,730.125,502.5,796.5,-41.51470588235293,893.85,True,True,True,False,190,221,0.7450980392156863,0.8666666666666667,0.12156862745098039,0.3106796116504854,0.5698932617395024,
180,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1046114514.las,data/las/1046114514.las,ok,2131.0,730.125,47.0,2178.0,47.0,2178.0,False,False,False,False,0,255,0.0,1.0,,,nan,
181,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1046114515.las,data/las/1046114515.las,ok,269.0,730.125,1909.0,2178.0,1442.2926470588236,2369.836764705882,True,True,True,False,163,188,0.6392156862745098,0.7372549019607844,0.09803921568627451,0.2765957446808511,0.6081986474823263,
182,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386279.las,data/las/1055386279.las,ok,711.7,730.125,87.8,799.5,87.8,799.5,False,False,False,False,0,255,0.0,1.0,,,nan,
183,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386108.las,data/las/1055386108.las,ok,963.9000000000001,730.125,0.3,964.2,0.3,964.2,False,False,False,False,0,255,0.0,1.0,,,nan,
184,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385730.las,data/las/1055385730.las,ok,721.1,730.125,30.1,751.2,30.1,751.2,False,False,False,False,0,255,0.0,1.0,,,nan,
185,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385582.las,data/las/1055385582.las,ok,852.3,730.125,30.0,882.3,30.0,882.3,False,False,False,False,0,255,0.0,1.0,,,nan,
186,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385633.las,data/las/1055385633.las,ok,851.4,730.125,30.0,881.4,30.0,881.4,False,False,False,False,0,255,0.0,1.0,,,nan,
187,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055814153.las,data/las/1055814153.las,ok,721.25,730.125,-6.25,715.0,-6.25,715.0,False,False,False,False,0,255,0.0,1.0,,,nan,
188,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044189439.las,data/las/1044189439.las,ok,672.15,730.125,13.25,685.4,13.25,685.4,False,False,False,False,0,255,0.0,1.0,,,nan,
189,g11_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044189438.las,data/las/1044189438.las,ok,685.4,730.125,13.2,698.6,13.2,698.6,False,False,False,False,0,255,0.0,1.0,,,nan,
190,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044817565.las,data/las/1044817565.las,ok,1512.0,810.0,-3.0,1509.0,-3.0,1509.0,False,False,False,False,0,255,0.0,1.0,,,nan,
191,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/06S19E/1044077614.las,data/las/1044077614.las,ok,2724.0,810.0,138.0,2862.0,138.0,2862.0,False,False,False,False,0,255,0.0,1.0,,,nan,
192,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/06S19E/1033893405.las,data/las/1033893405.las,ok,2650.0,810.0,150.0,2800.0,150.0,2800.0,False,False,False,False,0,255,0.0,1.0,,,nan,
193,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/06S19E/1033893405.las,data/las/1033893405.las,ok,2650.0,810.0,150.0,2800.0,150.0,2800.0,False,False,False,False,0,255,0.0,1.0,,,nan,
194,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044876341.las,data/las/1044876341.las,ok,1477.5,810.0,-2.0,1475.5,-2.0,1475.5,False,False,False,False,0,255,0.0,1.0,,,nan,
195,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044817629.las,data/las/1044817629.las,ok,1514.5,810.0,-4.0,1510.5,-4.0,1510.5,False,False,False,False,0,255,0.0,1.0,,,nan,
196,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044798869.las,data/las/1044798869.las,ok,1399.5,810.0,-4.0,1395.5,-4.0,1395.5,False,False,False,False,0,255,0.0,1.0,,,nan,
197,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044798588.las,data/las/1044798588.las,ok,1399.5,810.0,-4.0,1395.5,-4.0,1395.5,False,False,False,False,0,255,0.0,1.0,,,nan,
198,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044798866.las,data/las/1044798866.las,ok,1414.5,810.0,-4.0,1410.5,-4.0,1410.5,False,False,False,False,0,255,0.0,1.0,,,nan,
199,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044798574.las,data/las/1044798574.las,ok,1414.5,810.0,-4.0,1410.5,-4.0,1410.5,False,False,False,False,0,255,0.0,1.0,,,nan,
200,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/07S21E/1044219058.las,data/las/1044219058.las,ok,2971.0,810.0,190.0,3161.0,190.0,3161.0,False,False,False,False,0,255,0.0,1.0,,,nan,
201,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055814125.las,data/las/1055814125.las,ok,2003.35,810.0,-5.75,1997.6,-5.75,1997.6,False,False,False,False,0,255,0.0,1.0,,,nan,
202,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055814124.las,data/las/1055814124.las,ok,1528.0,810.0,-5.25,1522.75,-5.25,1522.75,False,False,False,False,0,255,0.0,1.0,,,nan,
203,g11_5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1045098417.las,data/las/1045098417.las,ok,1301.7,810.0,0.1,1301.8,0.1,1301.8,False,False,False,False,0,255,0.0,1.0,,,nan,
204,g11_6,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813704.las,data/las/1055813704.las,ok,2499.0,2390.5,0.0,2499.0,0.0,2499.0,False,False,False,False,0,255,0.0,1.0,,,nan,
205,g11_6,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813705.las,data/las/1055813705.las,ok,460.5,2390.5,2350.0,2810.5,343.8549019607842,2810.5,True,True,False,False,214,232,0.8392156862745098,0.9098039215686274,0.07058823529411765,0.3877551020408163,0.6276528744228219,
206,g11_6,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/02S19E/1044170352.las,data/las/1044170352.las,ok,3130.0,2390.5,0.0,3130.0,0.0,3130.0,False,False,False,False,0,255,0.0,1.0,,,nan,
207,g12_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/30S25E/1044253634.las,data/las/1044253634.las,ok,250.0,777.4,0.0,250.0,-457.29411764705884,463.4039215686274,True,True,True,False,150,185,0.5882352941176471,0.7254901960784313,0.13725490196078433,0.43902439024390244,0.6722796282644414,
208,g12_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/30S25E/1044253640.las,data/las/1044253640.las,ok,160.0,777.4,0.0,160.0,0.0,791.0658823529411,True,False,True,False,21,48,0.08235294117647059,0.18823529411764706,0.10588235294117647,0.5283018867924528,0.6544795309606979,
209,g12_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/31S25E/1044253641.las,data/las/1044253641.las,ok,154.0,777.4,0.0,154.0,-509.1207843137255,352.16078431372546,True,True,True,False,167,190,0.6549019607843137,0.7450980392156863,0.09019607843137255,0.47058823529411764,0.6991750136932053,
210,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/27S25E/1044253624.las,data/las/1044253624.las,ok,240.0,784.25,0.0,240.0,-479.7764705882353,495.2656862745098,True,True,True,False,156,172,0.611764705882353,0.6745098039215687,0.06274509803921569,0.21794871794871795,0.7164131563980245,
211,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/27S25E/1044913842.las,data/las/1044913842.las,ok,240.0,784.25,0.0,240.0,-479.7764705882353,495.2656862745098,True,True,True,False,156,172,0.611764705882353,0.6745098039215687,0.06274509803921569,0.21794871794871795,0.7164131563980245,
212,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/28S25E/1044253630.las,data/las/1044253630.las,ok,370.0,784.25,0.0,370.0,-633.5509803921569,370.0,True,True,False,False,206,253,0.807843137254902,0.9921568627450981,0.1843137254901961,0.39669421487603307,0.5659305749731238,
213,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/28S25E/1044913844.las,data/las/1044913844.las,ok,370.0,784.25,0.0,370.0,-633.5509803921569,370.0,True,True,False,False,206,253,0.807843137254902,0.9921568627450981,0.1843137254901961,0.39669421487603307,0.5659305749731238,
214,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/29S25E/1044253636.las,data/las/1044253636.las,ok,360.0,784.25,0.0,360.0,0.0,919.7392156862745,True,False,True,False,7,73,0.027450980392156862,0.28627450980392155,0.25882352941176473,0.5677966101694916,0.6395964783088636,
215,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/25S25E/1044251192.las,data/las/1044251192.las,ok,400.0,784.25,0.0,400.0,-196.83137254901962,925.9088235294118,True,True,True,False,64,84,0.25098039215686274,0.32941176470588235,0.0784313725490196,0.16030534351145037,0.6259304421594196,
216,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/25S25E/1044913822.las,data/las/1044913822.las,ok,400.0,784.25,0.0,400.0,-196.83137254901962,925.9088235294118,True,True,True,False,64,84,0.25098039215686274,0.32941176470588235,0.0784313725490196,0.16030534351145037,0.6259304421594196,
217,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/25S25E/1044251194.las,data/las/1044251194.las,ok,420.0,784.25,0.0,420.0,-147.6235294117647,942.8333333333334,True,True,True,False,48,85,0.18823529411764706,0.3333333333333333,0.1450980392156863,0.2773722627737226,0.604540944679565,
218,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/25S25E/1044913823.las,data/las/1044913823.las,ok,420.0,784.25,0.0,420.0,-147.6235294117647,942.8333333333334,True,True,True,False,48,85,0.18823529411764706,0.3333333333333333,0.1450980392156863,0.2773722627737226,0.604540944679565,
219,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/27S25E/1044253621.las,data/las/1044253621.las,ok,600.0,784.25,0.0,600.0,0.0,600.0,False,False,False,False,0,255,0.0,1.0,,,nan,
220,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/27S25E/1044913825.las,data/las/1044913825.las,ok,600.0,784.25,0.0,600.0,0.0,600.0,False,False,False,False,0,255,0.0,1.0,,,nan,
221,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813825.las,data/las/1055813825.las,ok,444.9,784.25,0.8,445.7,-159.12549019607843,953.155882352941,True,True,True,False,52,90,0.20392156862745098,0.35294117647058826,0.14901960784313725,0.2689655172413793,0.5933409302933947,
222,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2025/1056364695.las,data/las/1056364695.las,ok,402.0,784.25,30.0,432.0,-151.45392156862746,911.7764705882353,True,True,True,False,59,99,0.23137254901960785,0.38823529411764707,0.1568627450980392,0.31297709923664124,0.6097041887872608,
223,g12_2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813894.las,data/las/1055813894.las,ok,352.1,784.25,29.9,382.0,-160.78039215686275,898.6823529411764,True,True,True,False,62,87,0.24313725490196078,0.3411764705882353,0.09803921568627451,0.22608695652173913,0.6808663088413597,
224,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/15S25E/1043683743.las,data/las/1043683743.las,ok,1000.0,725.25,0.0,1000.0,0.0,1000.0,False,False,False,False,0,255,0.0,1.0,,,nan,
225,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385370.las,data/las/1055385370.las,ok,333.6,725.25,30.0,363.6,30.0,935.2676470588235,True,False,True,False,5,54,0.0196078431372549,0.21176470588235294,0.19215686274509805,0.423728813559322,0.5922899963980269,
226,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386189.las,data/las/1055386189.las,ok,477.75,725.25,-6.5,471.25,-6.5,471.25,False,False,False,False,0,255,0.0,1.0,,,nan,
227,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386190.las,data/las/1055386190.las,ok,465.75,725.25,-6.25,459.5,-543.7882352941177,459.5,True,True,False,False,189,253,0.7411764705882353,0.9921568627450981,0.25098039215686274,0.39634146341463417,0.5757567019079475,
228,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386213.las,data/las/1055386213.las,ok,453.75,725.25,-9.0,444.75,-361.67058823529413,686.5,True,True,True,False,124,170,0.48627450980392156,0.6666666666666666,0.1803921568627451,0.29375,0.611387143770224,
229,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386192.las,data/las/1055386192.las,ok,448.75,725.25,-6.25,442.5,-506.81470588235294,442.5,True,True,False,False,176,238,0.6901960784313725,0.9333333333333333,0.24313725490196078,0.3987341772151899,0.5845639352152965,
230,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385823.las,data/las/1055385823.las,ok,410.5,725.25,-6.25,404.25,-495.4382352941177,404.25,True,True,False,False,172,253,0.6745098039215687,0.9921568627450981,0.3176470588235294,0.5655172413793104,0.5787876428444338,
231,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386224.las,data/las/1055386224.las,ok,452.85,725.25,-4.6,448.25,-4.6,1068.2676470588235,True,False,True,False,0,37,0.0,0.1450980392156863,0.1450980392156863,0.2375,0.565972371816958,
232,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386191.las,data/las/1055386191.las,ok,447.0,725.25,-6.25,440.75,-410.11470588235295,682.5,True,True,True,False,142,170,0.5568627450980392,0.6666666666666666,0.10980392156862745,0.18354430379746836,0.6407973061968076,
233,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386215.las,data/las/1055386215.las,ok,434.25,725.25,-6.25,428.0,-657.5529411764707,428.0,True,True,False,False,229,253,0.8980392156862745,0.9921568627450981,0.09411764705882353,0.16339869281045752,0.5889880726603948,
234,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386193.las,data/las/1055386193.las,ok,466.75,725.25,-6.5,460.25,-575.3235294117648,460.25,True,True,False,False,200,253,0.7843137254901961,0.9921568627450981,0.20784313725490197,0.32727272727272727,0.570603829175475,
235,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385824.las,data/las/1055385824.las,ok,431.0,725.25,-6.5,424.5,-526.9735294117647,535.4205882352942,True,True,True,False,183,216,0.7176470588235294,0.8470588235294118,0.12941176470588237,0.2236842105263158,0.5654290812917818,
236,g12_4,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386216.las,data/las/1055386216.las,ok,467.75,725.25,-6.5,461.25,-620.8294117647059,461.25,True,True,False,False,216,253,0.8470588235294118,0.9921568627450981,0.1450980392156863,0.23030303030303031,0.5976710951493314,
237,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2021/1051972466.las,data/las/1051972466.las,ok,2821.0,4021.0,3400.0,6221.0,3400.0,6221.0,False,False,False,False,0,255,0.0,1.0,,,nan,
238,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2021/1051972510.las,data/las/1051972510.las,ok,2821.0,4021.0,3400.0,6221.0,3400.0,6221.0,False,False,False,False,0,255,0.0,1.0,,,nan,
239,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044683027.las,data/las/1044683027.las,ok,5466.5,4021.0,1640.0,7106.5,1640.0,7106.5,False,False,False,False,0,255,0.0,1.0,,,nan,
240,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044596533.las,data/las/1044596533.las,ok,4906.0,4021.0,2000.0,6906.0,2000.0,6906.0,False,False,False,False,0,255,0.0,1.0,,,nan,
241,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044683024.las,data/las/1044683024.las,ok,4576.5,4021.0,1616.75,6193.25,1616.75,6193.25,False,False,False,False,0,255,0.0,1.0,,,nan,
242,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044683039.las,data/las/1044683039.las,ok,4425.5,4021.0,1757.5,6183.0,1757.5,6183.0,False,False,False,False,0,255,0.0,1.0,,,nan,
243,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044683034.las,data/las/1044683034.las,ok,5019.0,4021.0,1690.0,6709.0,1690.0,6709.0,False,False,False,False,0,255,0.0,1.0,,,nan,
244,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044876006.las,data/las/1044876006.las,ok,4739.5,4021.0,1666.0,6405.5,1666.0,6405.5,False,False,False,False,0,255,0.0,1.0,,,nan,
245,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044683031.las,data/las/1044683031.las,ok,4814.0,4021.0,1690.0,6504.0,1690.0,6504.0,False,False,False,False,0,255,0.0,1.0,,,nan,
246,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044753452.las,data/las/1044753452.las,ok,4905.0,4021.0,1603.0,6508.0,1603.0,6508.0,False,False,False,False,0,255,0.0,1.0,,,nan,
247,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/33S37W/1006347098.las,data/las/1006347098.las,ok,5999.0,4021.0,287.0,6286.0,287.0,6286.0,False,False,False,False,0,255,0.0,1.0,,,nan,
248,g1_1,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/33S37W/1006347085.las,data/las/1006347085.las,ok,6295.5,4021.0,0.0,6295.5,0.0,6295.5,False,False,False,False,0,255,0.0,1.0,,,nan,
