rep_id,cell_id,cell_tag,score,url,kgs_id,api,api_num_nodash,operator,lease,lat,lon,las_path,picked_gr,picked_por,picked_den,picked_neu,picked_pe,picked_dt
23,g0_3,,23.300,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044740870.las,1044008654,15-075-20859,15075208590000,"Val Energy, Inc.",Cain 1-34,38.09232840,-102.03245240,data/las/1044740870.las,GR,DPHI,RHOB,NPHI,PE,
24,g0_3,,20.110,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/20S43W/1044141059.las,1036146638,15-071-20855,15071208550000,"Ramsey Property Management, LLC",Weston Trust 1,38.34762390,-102.01016980,data/las/1044141059.las,GR,,RHOB,NPHI,PE,DT
25,g0_3,,10.060,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2019/1046943479.las,1046808665,15-075-20664-0001,15075206640001,Highlands Natural Resources Corp.,BARRETT 1B-14,38.22903330,-102.00461830,data/las/1046943479.las,GR,,,,,
26,g0_3,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/20S43W/1028091599.las,1006067083,15-071-20429,15071204290000,BANKS LEE OIL,BLM 1,38.30284920,-102.03316170,data/las/1028091599.las,GR,,,,,
27,g0_3,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/23S43W/1028091685.las,1006173185,15-075-20056,15075200560000,"Dare Gas, Inc.",Owings 1,38.05350990,-101.98795270,data/las/1028091685.las,GR,,,,,
28,g0_3,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/25S42W/1000080832.las,1006067602,15-075-20020,15075200200000,Donald W. Jackson,Scholz 1,37.89045010,-101.97400060,data/las/1000080832.las,GR,,,,,
29,g0_3,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/25S43W/1028091739.las,1006068253,15-075-20401,15075204010000,Barrett Resources,Schwerdfeger 1-3,37.90858490,-102.02454730,data/las/1028091739.las,GR,,,,,
30,g0_4,,19.060,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S42W/1033820032.las,1006067043,15-071-20405,15071204050000,MARLIN OIL,ARCHIE 1,38.68235580,-102.00181650,data/las/1033820032.las,GR,DPHI,,NPHI,PE,
31,g0_4,,19.050,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S42W/1033820036.las,1006066888,15-071-20314,15071203140000,MARLIN OIL,HALE 1,38.67795840,-102.00147260,data/las/1033820036.las,GR,DPHI,,NPHI,PE,
32,g0_4,,19.050,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S42W/1033820043.las,1006066936,15-071-20344,15071203440000,MARLIN OIL,WALDO 1,38.68054440,-102.00181840,data/las/1033820043.las,GR,DPHI,,NPHI,PE,
