cell_id,grid_ix,grid_iy,n_kernel,n_read,n_used,template_path,type_url,type_las_path,thickness_median,ntg_median,iqr_median,error
g2_3,2,3,80,80,66,runs/runA/02_reps/cell_templates/g2_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2023/1053318743.las,data/las/1053318743.las,4550.5,0.5625,0.31242107514513917,
g2_4,2,4,80,80,73,runs/runA/02_reps/cell_templates/g2_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2011/1043960138.las,data/las/1043960138.las,4415.5,0.51953125,0.3020545960561183,
g2_5,2,5,80,80,70,runs/runA/02_reps/cell_templates/g2_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044859818.las,data/las/1044859818.las,4468.875,0.51171875,0.2883737720895779,
g2_6,2,6,80,80,69,runs/runA/02_reps/cell_templates/g2_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2019/1047191394.las,data/las/1047191394.las,4395.0,0.4765625,0.24002721131539329,
g2_7,2,7,80,80,62,runs/runA/02_reps/cell_templates/g2_7.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044070932.las,data/las/1044070932.las,4539.25,0.5625,0.2048923572143813,
g3_1,3,1,80,80,69,runs/runA/02_reps/cell_templates/g3_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/30S34W/1044078909.las,data/las/1044078909.las,4353.5,0.73046875,0.2725603313866571,
g3_2,3,2,80,80,69,runs/runA/02_reps/cell_templates/g3_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2023/1053377133.las,data/las/1053377133.las,4405.5,0.58203125,0.3022338582766515,
g3_3,3,3,80,80,66,runs/runA/02_reps/cell_templates/g3_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044597383.las,data/las/1044597383.las,4340.0,0.509765625,0.316469353622832,
g3_4,3,4,80,80,70,runs/runA/02_reps/cell_templates/g3_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044245157.las,data/las/1044245157.las,4013.75,0.451171875,0.3245328921882876,
g3_5,3,5,80,80,67,runs/runA/02_reps/cell_templates/g3_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044782677.las,data/las/1044782677.las,4380.0,0.52734375,0.27352273708070496,
g3_6,3,6,80,80,72,runs/runA/02_reps/cell_templates/g3_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2023/1053428708.las,data/las/1053428708.las,4023.5,0.470703125,0.26146811875388676,
g3_7,3,7,80,80,78,runs/runA/02_reps/cell_templates/g3_7.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1046113879.las,data/las/1046113879.las,3680.5,0.453125,0.22979633284885986,
g4_1,4,1,80,79,64,runs/runA/02_reps/cell_templates/g4_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2023/1053379076.las,data/las/1053379076.las,4727.25,0.6484375,0.3027971780830664,
g4_2,4,2,80,80,76,runs/runA/02_reps/cell_templates/g4_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2020/1051582283.las,data/las/1051582283.las,4005.75,0.59375,0.31277098431494726,
g4_3,4,3,80,80,79,runs/runA/02_reps/cell_templates/g4_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045627822.las,data/las/1045627822.las,3698.5,0.51171875,0.31492070619457335,
g4_4,4,4,80,80,67,runs/runA/02_reps/cell_templates/g4_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045628823.las,data/las/1045628823.las,3755.5,0.51171875,0.2942314443493225,
g4_5,4,5,80,80,69,runs/runA/02_reps/cell_templates/g4_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2017/1046523573.las,data/las/1046523573.las,3640.0,0.45703125,0.3103113036617955,
g4_6,4,6,80,80,61,runs/runA/02_reps/cell_templates/g4_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044596940.las,data/las/1044596940.las,3630.0,0.4453125,0.2752996485653957,
g5_1,5,1,80,80,69,runs/runA/02_reps/cell_templates/g5_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044628387.las,data/las/1044628387.las,4580.0,0.6484375,0.319896719935447,
g5_2,5,2,80,80,75,runs/runA/02_reps/cell_templates/g5_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044880410.las,data/las/1044880410.las,4021.0,0.59765625,0.3248350916380126,
g5_3,5,3,80,80,78,runs/runA/02_reps/cell_templates/g5_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044152397.las,data/las/1044152397.las,3517.75,0.548828125,0.3131878145075892,
g5_4,5,4,80,80,68,runs/runA/02_reps/cell_templates/g5_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044570509.las,data/las/1044570509.las,3493.5,0.48828125,0.3264161905888152,
g5_5,5,5,80,80,60,runs/runA/02_reps/cell_templates/g5_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044955980.las,data/las/1044955980.las,3628.25,0.46484375,0.3048043447597684,
g5_6,5,6,80,80,69,runs/runA/02_reps/cell_templates/g5_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1044966077.las,data/las/1044966077.las,3557.25,0.4453125,0.29717208132666956,
g6_1,6,1,80,80,70,runs/runA/02_reps/cell_templates/g6_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/28S09W/1044188857.las,data/las/1044188857.las,4602.0,0.630859375,0.3333524677598946,
g6_2,6,2,80,80,71,runs/runA/02_reps/cell_templates/g6_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/31S01W/1044078804.las,data/las/1044078804.las,3565.5,0.5625,0.3258535102266463,
g6_3,6,3,80,80,72,runs/runA/02_reps/cell_templates/g6_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044875930.las,data/las/1044875930.las,3285.0,0.505859375,0.34918912401619884,
g6_4,6,4,80,80,60,runs/runA/02_reps/cell_templates/g6_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045627754.las,data/las/1045627754.las,3390.0,0.482421875,0.3249284485054233,
g6_5,6,5,80,80,64,runs/runA/02_reps/cell_templates/g6_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044839301.las,data/las/1044839301.las,3383.0,0.478515625,0.3107381042442642,
g6_6,6,6,80,80,61,runs/runA/02_reps/cell_templates/g6_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2020/1051661456.las,data/las/1051661456.las,3467.0,0.484375,0.27413052863124965,
g7_1,7,1,80,80,73,runs/runA/02_reps/cell_templates/g7_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044762123.las,data/las/1044762123.las,4056.0,0.62109375,0.3344484182938045,
g7_2,7,2,80,80,78,runs/runA/02_reps/cell_templates/g7_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2023/1053076205.las,data/las/1053076205.las,3387.75,0.5546875,0.34767518955109344,
g7_3,7,3,80,80,66,runs/runA/02_reps/cell_templates/g7_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044819107.las,data/las/1044819107.las,3100.5,0.537109375,0.32805280132308656,
g7_4,7,4,80,80,64,runs/runA/02_reps/cell_templates/g7_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044189967.las,data/las/1044189967.las,3170.5,0.478515625,0.3307445611089437,
g7_5,7,5,80,80,65,runs/runA/02_reps/cell_templates/g7_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045628559.las,data/las/1045628559.las,3080.5,0.5,0.3170727986889451,
g7_6,7,6,43,43,39,runs/runA/02_reps/cell_templates/g7_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1045027615.las,data/las/1045027615.las,2986.5,0.54296875,0.2972232610027713,
g8_1,8,1,80,80,78,runs/runA/02_reps/cell_templates/g8_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044130044.las,data/las/1044130044.las,2636.75,0.556640625,0.31995241415391473,
g8_2,8,2,80,80,77,runs/runA/02_reps/cell_templates/g8_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044892328.las,data/las/1044892328.las,3005.0,0.55859375,0.3264062471883855,
g8_3,8,3,80,80,79,runs/runA/02_reps/cell_templates/g8_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2020/1051694931.las,data/las/1051694931.las,2665.0,0.62109375,0.32592510346919834,
g8_4,8,4,80,80,77,runs/runA/02_reps/cell_templates/g8_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1045027012.las,data/las/1045027012.las,2643.5,0.5703125,0.33765661047680595,
g8_5,8,5,80,80,77,runs/runA/02_reps/cell_templates/g8_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044761686.las,data/las/1044761686.las,2589.5,0.59375,0.3334344602666154,
g8_6,8,6,80,80,69,runs/runA/02_reps/cell_templates/g8_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/10S10E/1008459011.las,data/las/1008459011.las,2212.0,0.5703125,0.34942669156397627,
g9_1,9,1,80,80,61,runs/runA/02_reps/cell_templates/g9_1.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055812764.las,data/las/1055812764.las,1069.2,0.63671875,0.24917978893412157,
g9_2,9,2,80,80,57,runs/runA/02_reps/cell_templates/g9_2.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813341.las,data/las/1055813341.las,1078.25,0.74609375,0.24295025408044918,
g9_3,9,3,80,80,59,runs/runA/02_reps/cell_templates/g9_3.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2025/1056364688.las,data/las/1056364688.las,1098.3,0.65234375,0.2613619345221685,
g9_4,9,4,80,80,75,runs/runA/02_reps/cell_templates/g9_4.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385455.las,data/las/1055385455.las,1998.6,0.59765625,0.3174665965733795,
g9_5,9,5,80,80,70,runs/runA/02_reps/cell_templates/g9_5.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/11S10E/1037589182.las,data/las/1037589182.las,3101.5,0.5703125,0.3374806992648246,
g9_6,9,6,80,80,75,runs/runA/02_reps/cell_templates/g9_6.npz,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/09S08E/1008459015.las,data/las/1008459015.las,2148.0,0.62890625,0.3394315083249161,
