src_id,dst_id,dist_km,pad_ft,overlap_ft,overlap_frac,status,dtw_cost,dtw_cost_per_step
10434,10436,0.7500106745395452,10.0,3813.5,1.0,ok,183.92576477456743,0.6993375086485454
22083,22088,1.2601312232315127,10.0,1064.0,0.5456410256410257,ok,164.29318554720186,0.6246889184304253
18601,18622,6.936769095775915,10.0,1494.0,0.9920318725099602,ok,197.44055998239284,0.7623187644107832
14007,14020,2.1313174031849833,10.0,329.5,1.0,ok,165.9623406440834,0.5927226451574408
9021,9594,1.654846131934268,10.0,3607.5,1.0,ok,172.1007589887689,0.6494368263727128
17933,17934,0.4386351529828306,10.0,3615.0,1.0,ok,174.03393002985192,0.6592194319312572
2209,2245,1.2233732044120575,10.0,1040.7,0.9996157909902986,ok,185.0385901994605,0.7009037507555321
1576,1578,0.8640476739464584,10.0,2222.5,0.9978673251767876,ok,178.35169712310804,0.6781433350688518
13984,14036,2.2839607586503647,10.0,1513.25,1.0,ok,192.5899692507378,0.7186192882490217
7169,7170,2.0895303088365966,10.0,1691.5,1.0,ok,178.24324927802473,0.6803177453359722
14120,14863,3.5273637141959298,10.0,4331.5,1.0,ok,196.96770080616017,0.7489266190348295
9617,9625,1.2678645965296873,10.0,2443.5,1.0,ok,179.3041001789043,0.6791821976473648
8215,8218,2.505225414596761,10.0,2464.0,1.0,ok,173.47936134360577,0.6646718825425508
10928,10944,3.873521989107314,10.0,3733.5,1.0,ok,181.67655204082521,0.6855718944936801
21849,21857,0.4031095837094633,10.0,2200.0,1.0,ok,182.77623315895516,0.7056997419264678
13568,13569,2.954394976088168,10.0,4857.0,1.0,ok,170.26613911860383,0.6548697658407839
3598,3632,0.4461689454059014,10.0,982.9,1.0,ok,157.7205087705941,0.5951717312097891
2476,2774,1.4980646980430044,10.0,1225.3,1.0,ok,171.69033753452942,0.5982241725941791
4950,4952,0.8125539723832995,10.0,1606.25,0.9989116915422885,ok,184.22955531196837,0.6978392246665468
15222,15227,2.145489530324263,10.0,3140.5,1.0,ok,180.1723722714854,0.6798957444206996
16082,16085,2.532714161293589,10.0,2033.5,0.9379612546125461,ok,185.97774200903393,0.7098387099581448
2244,2616,6.914241202047694,10.0,928.9,0.991884676988788,ok,163.96384221453326,0.6164054218591476
12600,12619,1.0503157061655697,10.0,830.0,1.0,ok,163.3887886638454,0.6188969267569902
5872,5907,0.6289827429892351,10.0,3161.0,1.0,ok,176.475929949967,0.6609585391384531
9972,9974,3.3301968157604747,10.0,3670.5,1.0,ok,196.60129073118256,0.7590783425914385
14591,14606,2.7546275639760753,10.0,172.5,0.11011809766996489,ok,198.19689162154404,0.7564766855784124
21879,21884,5.483287711592975,10.0,4470.0,1.0,ok,172.829174769771,0.64488498048422
17471,17472,1.2974778243315963,10.0,4548.5,1.0,ok,184.4101434974199,0.690674694746891
6515,6538,0.1968020759355356,10.0,4225.5,1.0,ok,177.1328008680265,0.6812800033385634
21170,21195,2.5906302682868447,10.0,3940.0,0.9830339321357285,ok,168.44318283063993,0.642912911567328
6707,6708,1.6769066131246249,10.0,3535.0,0.9632152588555858,ok,191.36367658658924,0.7194123179946964
21138,21657,7.587891550484949,10.0,3890.5,1.0,ok,169.19287988823234,0.6384636976914428
19125,19130,6.066135254210119,10.0,2048.5,1.0,ok,180.7901093298713,0.6695929975180419
3628,3632,0.554855036648505,10.0,951.4,0.9895985021843146,ok,158.83243998901318,0.5971144360489218
6076,6087,1.9418325662535023,10.0,626.2,0.9702510071273628,end_mismatch,192.2722040608695,0.667611819655797
16232,16968,0.6657044487126269,10.0,2880.5,1.0,ok,178.32401144155614,0.6832337603124756
10267,10272,0.4020353699536613,10.0,662.0,1.0,ok,161.56088048007317,0.6096636999248044
11987,11988,1.3854799453674924,10.0,2681.5,0.9816950393556654,ok,178.34028411819992,0.6755313792356058
22776,22782,5.805810029410695,10.0,1000.0,1.0,end_mismatch,198.70491188737432,0.6828347487538636
1645,1691,0.4745803702042318,10.0,1107.75,0.999098083427283,ok,155.6170281722539,0.5785019634656279
21374,21375,0.6829590500261038,10.0,2090.0,0.9835294117647059,ok,178.65152929691178,0.6897742443896208
19032,19316,5.385205758974298,10.0,3310.0,0.9998489654130795,ok,184.14837612398455,0.6948995325433379
11338,11350,1.6873485150997976,10.0,3307.5,1.0,ok,178.20047283548317,0.6801544764713098
2269,2272,4.313871664213972,10.0,874.85,0.9605819379632171,ok,166.95579401890464,0.6071119782505623
17917,17939,4.282734692262432,10.0,3276.5,1.0,ok,187.5327304709006,0.7157737804232847
309,315,4.662632082433238,10.0,2806.75,0.9834442887175894,ok,183.12515993463668,0.6587235968871823
15597,15639,0.5754785941885718,10.0,680.0,1.0,ok,158.7341093582398,0.5879041087342215
20557,20564,0.8328358295614479,10.0,3746.0,0.9580562659846548,ok,177.97807215891996,0.6716153666374338
8933,8942,5.463222942142106,10.0,3515.5,1.0,ok,193.08307001501706,0.7369582825000651
4291,4326,1.8052533708600265,10.0,952.6,1.0,ok,156.97131654787535,0.5749865075013749
22788,22792,1.4882266092757603,10.0,969.0,1.0,ok,190.14895610832662,0.7229998331115081
6774,6775,3.8051512252768105,10.0,2503.0,0.9280682239525399,ok,171.42020558285265,0.6325468840695669
4026,4028,2.0026654840593547,10.0,1109.0,1.0,ok,172.48350494858133,0.655830817294986
22289,22290,1.0308716717655175,10.0,4726.5,1.0,ok,166.58634072344879,0.628627700843203
5072,5076,1.1349611648787163,10.0,1009.3000000000001,1.0,ok,165.4231283494013,0.6172504789156765
5932,5934,3.646292495283772,10.0,2860.0,0.8827160493827161,end_mismatch,197.1355335110579,0.686883392024592
10665,10668,2.3489526567032053,10.0,4741.0,1.0,ok,188.18339243945508,0.7182572230513552
2324,2329,0.0680043449358014,10.0,480.8,0.9979244499792445,ok,177.5360325834793,0.6828308945518435
12571,12574,1.6491263618638732,10.0,1992.0,1.0,ok,171.0480376688828,0.6454642930901239
15284,15300,0.7260334774042027,10.0,3126.5,0.9936437311298268,ok,173.8319952417266,0.6609581568126486
4555,4557,0.1421055061243595,10.0,1320.5,1.0,ok,194.99621883795942,0.7557992978215481
10573,11079,2.908405652556245,10.0,4535.0,0.997690023099769,ok,186.25174061192763,0.7054990174694229
947,952,0.0683731033449645,10.0,320.0,0.9992193598750976,read_fail,,
