rep_id,status,n_raw,n_finite_gr,z_min,z_max,z_fin_min,z_fin_max,n_samples,p_lo,p_hi,p_lo_val,p_hi_val,fill_nans,max_gap_depth,imputed_frac_rs
95,OK,3101,3101,50.0,1600.0,50.0,1600.0,400,1.0,99.0,22.09642606161379,245.26774533099285,True,,0.0
96,OK,2401,2242,300.0,1500.0,349.5,1470.0,400,1.0,99.0,17.2310757,197.61312644142777,True,,0.0675
97,OK,5023,4980,50.0,2561.0,60.0,2549.5,400,1.0,99.0,6.2846605263157995,237.70128082706805,True,,0.01
98,OK,5498,5497,211.0,2959.5,211.5,2959.5,400,1.0,99.0,5.981367258145358,150.0,True,,0.0025
99,OK,3101,3101,50.0,1600.0,50.0,1600.0,400,1.0,99.0,23.21476768995898,250.12240433193134,True,,0.0
100,OK,4401,4401,200.0,2400.0,200.0,2400.0,400,1.0,99.0,15.003648412398507,149.81036821945187,True,,0.0
101,OK,42841,42540,-8.25,2133.75,2.4,2129.35,400,1.0,99.0,6.793456,143.70751600000006,True,,0.0075
102,OK,4401,4401,200.0,2400.0,200.0,2400.0,400,1.0,99.0,14.427940268373682,173.60531921558828,True,,0.0
103,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
104,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
105,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
106,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
107,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
108,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
109,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
110,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
111,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
112,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
113,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
114,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
115,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
116,OK,6962,6885,0.0,3480.5,0.0,3442.0,400,1.0,99.0,13.206576406016197,267.833712972425,True,,0.0125
117,OK,7795,7716,0.0,3897.0,0.0,3857.5,400,1.0,99.0,13.982673187969297,135.5193151127811,True,,0.0125
118,OK,5541,5462,195.0,2965.0,195.0,2925.5,400,1.0,99.0,25.277257894736934,235.95002185465046,True,,0.015
119,OK,7489,7420,-3.0,3741.0,-3.0,3706.5,400,1.0,99.0,14.050182593984845,321.69180176688303,True,,0.01
120,OK,7323,7316,236.0,3897.0,236.0,3893.5,400,1.0,99.0,11.51518350877201,268.7152133333331,True,,0.0025
121,OK,7552,7492,245.0,4020.5,245.0,4020.5,400,1.0,99.0,10.154712112781942,184.42123692481061,True,,0.0
122,OK,7676,7621,245.0,4082.5,245.0,4082.5,400,1.0,99.0,16.509991315789303,164.3889825513759,True,,0.0
123,OK,2290,2290,-4.0,1140.5,-4.0,1140.5,400,1.0,99.0,23.00644399999996,326.85236184210504,True,,0.0
124,OK,7184,7127,295.0,3886.5,295.0,3885.5,400,1.0,99.0,9.882098335839585,287.4027614385991,True,,0.0025
125,OK,7431,7424,230.0,3945.0,230.0,3941.5,400,1.0,99.0,9.891717393483788,152.93872040100172,True,,0.0025
126,OK,10873,10693,344.0,5780.0,346.0,5745.5,400,1.0,99.0,15.028948496240588,245.04694436089952,True,,0.01
127,OK,6689,6590,224.0,3568.0,224.0,3527.5,400,1.0,99.0,-5.8218104761904765,280.6561466666675,True,,0.0125
128,OK,7763,7675,245.0,4126.0,246.0,4087.5,400,1.0,99.0,12.617436190476559,200.82293463659522,True,,0.0125
129,OK,7397,7394,0.0,3698.0,0.0,3697.5,400,1.0,99.0,27.883889473684228,155.35489037594235,True,,0.0025
130,OK,1621,1489,2600.0,3410.0,2600.0,3344.0,400,1.0,99.0,14.82172030075225,125.96709924812016,True,,0.0825
131,OK,1901,1888,850.0,1800.0,856.0,1799.5,400,1.0,99.0,5.105949047619043,67.81578880952529,True,,0.01
132,OK,1660,1609,-4.5,825.0,0.0,804.0,400,1.0,99.0,32.67071052631587,286.67889473684244,True,,0.035
133,OK,549,442,541.0,815.0,544.0,764.5,400,1.0,99.0,75.43892731829543,174.61153884711769,True,,0.1975
134,OK,592,446,574.0,869.5,595.0,817.5,400,1.0,99.0,96.4464721804512,199.93718872180395,True,,0.25
135,OK,1011,928,0.0,505.0,0.5,464.0,400,1.0,99.0,29.624595238095054,286.79322180451095,True,,0.085
136,OK,281,271,0.0,140.0,0.0,135.0,400,1.0,99.0,34.678216140350884,175.06201263157894,True,,0.0375
137,OK,841,821,0.0,420.0,0.0,410.0,400,1.0,99.0,19.47732263157893,74.88254052631584,True,,0.025
