src_rep_id,dst_rep_id,dist_km,source
916,918,0.022437772381152046,quadrant
917,918,0.022437772381152046,quadrant+radius
229,234,0.030287291098311995,quadrant
232,236,0.06933055945087782,quadrant
229,236,0.07209270147996648,quadrant
170,175,0.0723818361725932,quadrant
233,234,0.08029192292515103,quadrant
229,233,0.08237536359933877,quadrant+radius
234,236,0.08878290969106986,radius
227,232,0.08991536595501336,quadrant
231,236,0.09139557211747296,quadrant
226,227,0.09410948515602954,quadrant
132,134,0.10215553038819784,quadrant
231,232,0.10383275027184716,quadrant+radius
228,233,0.10406180250322561,quadrant
201,202,0.12161509064720576,quadrant
229,232,0.12512115014872627,quadrant+radius
232,234,0.12701858427808005,quadrant+radius
230,235,0.12984442371325447,quadrant
233,236,0.15396224914172982,radius
227,236,0.15845700683327868,radius
229,231,0.1600801495007337,radius
228,229,0.16483623377875412,quadrant+radius
196,198,0.17377915054640564,quadrant
196,199,0.17377915054640564,quadrant+radius
197,198,0.17377915054640564,quadrant+radius
197,199,0.17377915054640564,radius
228,234,0.17610314767322321,radius
227,231,0.1768643919561165,quadrant+radius
188,189,0.17762993679867914,quadrant
231,234,0.17997625325527003,radius
226,232,0.1832316902007253,radius
227,234,0.19430666293023027,radius
89,90,0.20140764882699372,quadrant
30,32,0.20141883585662276,quadrant
30,38,0.20141883585662276,quadrant+radius
30,39,0.20141883585662276,quadrant+radius
32,40,0.20141883585662276,quadrant+radius
38,40,0.20141883585662276,radius
39,40,0.20141883585662276,radius
645,648,0.2016122928344406,quadrant
227,229,0.20249805448524474,radius
232,233,0.20507764250376778,radius
887,897,0.22390554921745215,quadrant
228,236,0.22434556209402684,quadrant+radius
646,648,0.22499213761192333,quadrant
961,964,0.22512358285430714,quadrant
231,233,0.23827458739546,radius
226,236,0.25228069952478405,radius
226,231,0.2585416602172508,radius
540,541,0.2646804901125279,quadrant
778,779,0.2720230932559035,quadrant
257,258,0.27279211044968743,quadrant
227,233,0.27441529368443884,radius
168,174,0.2803735191127823,quadrant
226,234,0.2841227981236577,radius
